"stockcode","description","units_sold","revenue"
"22084","PAPER CHAIN KIT EMPIRE",8803,25163.56
"22085","PAPER CHAIN KIT SKULLS ",2538,6883.87
"22086","PAPER CHAIN KIT 50'S CHRISTMAS ",35084,117760.29
"22087","PAPER BUNTING WHITE LACE",8475,25389.10
"22088","PAPER BUNTING COLOURED LACE",4399,13076.88
"22089","PAPER BUNTING VINTAGE PAISLEY",3506,10303.35
"22090","PAPER BUNTING RETRO SPOTS",8292,24933.94
"22090","PAPER BUNTING RETROSPOT",8406,25497.96
"22091","EMPIRE TISSUE BOX",3179,2485.86
"22092","BLUE PAISLEY TISSUE BOX",933,592.91
"22093","MOTORING TISSUE BOX",2346,1429.87
"22094","RED POLKA DOT TISSUE BOX",1003,1224.89
"22094","RED RETROSPOT TISSUE BOX",2554,1424.16
"22095","LADS ONLY TISSUE BOX",2978,3123.03
"22096","PINK PAISLEY SQUARE TISSUE BOX ",1667,938.86
"22097","SWALLOW SQUARE TISSUE BOX",2064,1281.75
"22098","BOUDOIR SQUARE TISSUE BOX",2865,1952.04
"22099","CARAVAN SQUARE TISSUE BOX",2123,1585.46
"22100","SKULLS SQUARE TISSUE BOX",1005,709.50
"22101","MIRROR MOSAIC VOTIVE HOLDER",1909,2790.27
"22102","MIRROR MOSAIC T-LIGHT HOLDER ",1842,1191.69
"22103","MIRROR MOSAIC T-LIGHT HOLDER ROUND",1746,1760.64
"22104","MIRROR MOSAIC CANDLE PLATE",1187,968.08
"22105","MIRROR MOSAIC GOBLET CANDLE HOLDER",692,1294.70
"22106","MIRROR MOSAIC HURRICANE LAMP ",509,1589.98
"22107","PIZZA PLATE IN BOX",1240,4840.59
"22108","PING! MICROWAVE PLATE",313,978.74
"22109","FULL ENGLISH BREAKFAST PLATE",3338,13750.11
"22110","BIRD HOUSE HOT WATER BOTTLE",2609,8563.76
"22111","SCOTTIE DOG HOT WATER BOTTLE",9776,49771.94
"22112","CHOCOLATE HOT WATER BOTTLE",11065,57981.94
"22113","GREY HEART HOT WATER BOTTLE",5759,22025.93
"22114","HOT WATER BOTTLE TEA AND SYMPATHY",11677,59189.14
"22115","METAL SIGN EMPIRE TEA",2889,5695.10
"22116","METAL SIGN HIS DINNER IS SERVED",823,1103.88
"22117","METAL SIGN HER DINNER IS SERVED ",1765,5207.73
"22118","JOY WOODEN BLOCK LETTERS",799,3842.07
"22119"," PEACE WOODEN BLOCK LETTERS",137,952.74
"22119","PEACE WOODEN BLOCK LETTERS",759,4591.13
"22120","WELCOME  WOODEN BLOCK LETTERS",1018,10314.19
"22121","NOEL WOODEN BLOCK LETTERS ",1481,9167.61
"22122","SET OF 2 FANCY FONT TEA TOWELS",1095,3290.08
"22123","PING MICROWAVE APRON",655,1700.14
"22124","SET OF 2 TEA TOWELS PING MICROWAVE",298,751.93
"22125","UNION JACK HOT WATER BOTTLE ",653,4089.09
"22127","PARTY CONES CARNIVAL ASSORTED",3468,4153.11
"22128","PARTY CONES CANDY ASSORTED",3923,4759.59
"22129","PARTY CONES CANDY DECORATION",454,621.96
"22129","PARTY CONES CANDY TREE DECORATION",2792,2473.16
"22130","PARTY CONE CHRISTMAS DECORATION ",9737,10991.21
"22131","FOOD CONTAINER SET 3 LOVE HEART ",5243,9914.89
"22132","RED LOVE HEART SHAPE CUP",3345,2989.81
"22133","PINK LOVE HEART SHAPE CUP",2464,2258.61
"22134","LADLE LOVE HEART RED ",1489,642.40
"22134","MINI LADLE LOVE HEART RED ",865,401.18
"22135","LADLE LOVE HEART PINK",1096,508.75
"22135","MINI LADLE LOVE HEART PINK",528,297.40
"22136","LOVE HEART SOCK HANGER",1989,3322.22
"22137","BATHROOM SET LOVE HEART DESIGN",606,1508.28
"22138","BAKING SET 9 PIECE RETROSPOT ",9366,45882.01
"22139","11 PC CERAMIC TEA SET POLKADOT",3,14.85
"22139","RETRO SPOT TEA SET CERAMIC 11 PC ",4438,21301.04
"22139","RETROSPOT TEA SET CERAMIC 11 PC ",6168,31527.12
"22141","CHRISTMAS CRAFT TREE TOP ANGEL",3663,8895.21
"22142","CHRISTMAS CRAFT WHITE FAIRY ",4300,6445.39
"22143","CHRISTMAS CRAFT HEART DECORATIONS",446,942.88
"22144","CHRISTMAS CRAFT LITTLE FRIENDS",5134,12382.47
"22145","CHRISTMAS CRAFT HEART STOCKING ",1306,2752.66
"22146","EASTER CRAFT IVY WREATH WITH CHICK",1413,2633.13
"22147","FELTCRAFT BUTTERFLY HEARTS",12828,17893.58
"22148","EASTER CRAFT 4 CHICKS ",3237,6480.29
"22149","FELTCRAFT 6 FLOWER FRIENDS",12674,26218.97
"22150"," 3 STRIPEY MICE FELTCRAFT",691,1342.03
"22150","3 STRIPEY MICE FELTCRAFT",7124,13144.52
"22151","PLACE SETTING WHITE HEART",27562,11609.19
"22152","PLACE SETTING WHITE STAR",6241,2642.28
"22153","ANGEL DECORATION STARS ON DRESS",5705,2469.16
"22154","ANGEL DECORATION 3 BUTTONS ",7114,3073.32
"22155","STAR DECORATION RUSTIC",5925,2671.81
"22156","HEART DECORATION WITH PEARLS ",6156,5537.57
"22157","ANGEL DECORATION WITH LACE PADDED",1698,1451.40
"22158","3 HEARTS HANGING DECORATION RUSTIC",8985,29198.28
"22161","HEART DECORATION RUSTIC HANGING ",6726,2738.28
"22162","HEART GARLAND RUSTIC PADDED",1218,3737.90
"22163","HEART STRING MEMO HOLDER HANGING",1269,2235.12
"22164","STRING OF STARS CARD HOLDER",315,883.22
"22165","DIAMANTE HEART SHAPED WALL MIRROR, ",976,7673.73
"22166","WALL MIRROR , RECT DIAMANTE, PINK/",219,1746.78
"22166","WALL MIRROR RECTANGLE DIAMANTE PINK",221,1781.97
"22167"," OVAL WALL MIRROR DIAMANTE ",265,2724.42
"22167","WALL MIRROR , DIAMANTE OVAL SHAPE",425,3331.91
"22168","ORGANISER WOOD ANTIQUE WHITE ",656,5450.43
"22168","ORGANISER WOOD, ANTIQUE WHITE ",3,25.50
"22169","FAMILY ALBUM WHITE PICTURE FRAME",2275,19507.60
"22170","PICTURE FRAME WOOD TRIPLE PORTRAIT",2385,15645.27
"22171","3 HOOK PHOTO SHELF ANTIQUE WHITE",3141,23709.46
"22172","METAL SHELF WITH RAIL ",378,3451.82
"22173","METAL 4 HOOK HANGER FRENCH CHATEAU",5026,15411.90
"22174","PHOTO CUBE",5122,10374.33
"22175","PINK OWL DECORATION",96,244.80
"22175","PINK OWL SOFT TOY",1728,5033.51
"22176","BLUE OWL DECORATION",96,244.80
"22176","BLUE OWL SOFT TOY",1088,3297.93
"22177","5 HOOK BLACKBOARD ORGANISER ",325,3101.46
"22178","VICTORIAN GLASS HANGING T-LIGHT",40081,52382.82
"22179","SET 10 LIGHTS NIGHT OWL",1518,10509.88
"22179","SET 10 NIGHT OWL LIGHTS",505,3908.73
"22180","RETRO SPOT LAMP",511,5164.42
"22180","RETROSPOT LAMP",464,4938.96
"22181","SNOWSTORM PHOTO FRAME FRIDGE MAGNET",1538,1291.38
"22182","CAKE STAND VICTORIAN FILIGREE SMALL",561,2156.45
"22183","CAKE STAND VICTORIAN FILIGREE MED",586,3297.25
"22184","CAKE STAND VICTORIAN FILIGREE LARGE",389,2887.07
"22185","SLATE TILE NATURAL HANGING",3896,6224.72
"22186","RED STAR CARD HOLDER",2004,5431.40
"22187","GREEN CHRISTMAS TREE CARD HOLDER",2104,6820.70
"22188","BLACK HEART CARD HOLDER",10353,28112.03
"22189","CREAM HEART CARD HOLDER",16186,49300.94
"22190","LOCAL CAFE MUG",1400,2591.67
"22191","EAU DE NIL DINER WALL CLOCK",248,2067.20
"22191","IVORY DINER WALL CLOCK",1659,13689.85
"22191","IVORY WALL CLOCK",60,459.00
"22192","BLUE DINER WALL CLOCK",1426,12104.80
"22193","RED DINER WALL CLOCK",1850,15658.98
"22193","RED WALL CLOCK",60,459.00
"22194","BLACK DINER WALL CLOCK",373,3212.10
"22195","HEART MEASURING SPOONS LARGE",84,138.60
"22195","LARGE HEART MEASURING SPOONS",5043,9005.64
"22196","HEART MEASURING SPOONS SMALL",12,10.20
"22196","SMALL HEART MEASURING SPOONS",6574,6130.99
"22197","POPCORN HOLDER",36749,34288.67
"22197","POPCORN HOLDER , SMALL ",3189,2531.64
"22197","SMALL POPCORN HOLDER",48561,42699.89
"22198","LARGE POPCORN HOLDER ",6323,11063.40
"22198","POPCORN HOLDER , LARGE",1008,1696.21
"22199","FRYING PAN RED POLKADOT ",1210,4890.14
"22199","FRYING PAN RED RETROSPOT",617,2590.21
"22200","FRYING PAN PINK POLKADOT",639,2846.69
"22200","FRYING PAN PINK POLKADOT ",650,2904.26
"22200","FRYING PAN PINK RETROSPOT",7,33.97
"22201","FRYING PAN BLUE POLKADOT",229,874.02
"22201","FRYING PAN BLUE POLKADOT ",276,1139.16
"22201","FRYING PAN BLUE RETROSPOT",4,21.22
"22202","MILK PAN PINK POLKADOT",331,1325.01
"22202","MILK PAN PINK RETROSPOT",743,3011.24
"22203","MILK PAN RED RETROSPOT",1402,5469.51
"22204","MILK PAN BLUE POLKADOT",226,782.16
"22204","MILK PAN BLUE RETROSPOT",311,1192.13
"22206","MUG , DOTCOMGIFTSHOP.COM ",14,11.82
"22207","FRYING PAN UNION FLAG",3103,13298.57
"22208","WOOD STAMP SET THANK YOU",2366,3036.95
"22209","WOOD STAMP SET HAPPY BIRTHDAY",1415,1753.94
"22210","WOOD STAMP SET BEST WISHES",1586,1898.42
"22211","WOOD STAMP SET FLOWERS",1531,2022.35
"22212","FOUR HOOK  WHITE LOVEBIRDS",4024,8642.30
"22214","CANDLE PLATE LACE WHITE",549,1279.79
"22215","CAKE STAND WHITE TWO TIER LACE",1085,8809.93
"22216","T-LIGHT HOLDER WHITE LACE",1396,1215.83
"22217","T-LIGHT HOLDER HANGING LACE",2374,2814.81
"22218","CAKE STAND LACE WHITE",1232,5365.66
"22219","LOVEBIRD HANGING DECORATION WHITE ",9771,9270.48
"22220","CAKE STAND LOVEBIRD 2 TIER WHITE",745,6885.44
"22221","CAKE STAND LOVEBIRD 2 TIER PINK",905,6702.33
"22222","CAKE PLATE LOVEBIRD WHITE",1489,6160.84
"22223","CAKE PLATE LOVEBIRD PINK",726,3359.66
"22224","WHITE LOVEBIRD LANTERN",2373,7527.94
"22227","DECORATION, HANGING HEART+MIRROR ",2983,2161.00
"22227","HANGING HEART MIRROR DECORATION ",3038,2183.17
"22228","BUNNY WOODEN PAINTED WITH BIRD ",1727,1456.60
"22229","BUNNY WOODEN PAINTED WITH FLOWER ",1007,845.30
"22230","JIGSAW TREE WITH WATERING CAN",1657,1134.64
"22231","JIGSAW TREE WITH BIRDHOUSE",2135,2712.48
"22232","3 PIECE JIGSAW TOADSTOOLS",16,26.40
"22232","JIGSAW TOADSTOOLS 3 PIECE",1093,1292.59
"22233","JIGSAW RABBIT AND BIRDHOUSE",949,1210.11
"22236","CAKE STAND 3 TIER MAGIC GARDEN",1127,13965.52
"22241","GARLAND , WOODEN  "" HAPPY EASTER""",105,133.89
"22241","GARLAND WOODEN HAPPY EASTER",4244,5728.53
"22242","5 HOOK HANGER MAGIC TOADSTOOL",1774,2763.96
"22242","HOOK, 5 HANGER , MAGIC TOADSTOOL",2982,4795.95
"22243","5 HOOK HANGER RED MAGIC TOADSTOOL",4526,6951.45
"22243","HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",3152,4908.80
"22244","3 HOOK HANGER MAGIC GARDEN",2732,5122.76
"22244","HOOK, 3 HANGER ,MAGIC GARDEN",2028,3979.20
"22245","HOOK, 1 HANGER ,MAGIC GARDEN",4633,3988.85
"22246","GARLAND, MAGIC GARDEN 1.8M",656,1332.36
"22246","MAGIC GARDEN FELT GARLAND ",425,955.59
"22247","BUNNY DECORATION MAGIC GARDEN",1184,1022.79
"22248","DECORATION  PINK CHICK MAGIC GARDEN",1013,901.50
"22249","DECORATION WHITE CHICK MAGIC GARDEN",1636,1434.66
"22250","DECORATION  BUTTERFLY  MAGIC GARDEN",1521,1382.96
"22251","BIRDHOUSE DECORATION MAGIC GARDEN",1871,2317.64
"22252","BIRDCAGE DECORATION MAGIC GARDEN",21,53.55
"22252","BIRDCAGE DECORATION TEALIGHT HOLDER",935,1122.01
"22253","6 CROCHET STRAWBERRIES",964,1158.28
"22254","FELT TOADSTOOL LARGE",1398,1792.21
"22255","FELT TOADSTOOL  SMALL",1185,1127.11
"22256","FELT FARM ANIMAL CHICKEN",933,1200.07
"22257","FELT FARM ANIMAL SHEEP",419,345.48
"22258","FELT FARM ANIMAL RABBIT",1342,1291.05
"22259","FELT FARM ANIMAL HEN",590,482.95
"22260","FELT EGG COSY BLUE RABBIT ",1557,1594.77
"22261","FELT EGG COSY WHITE RABBIT ",2105,2024.35
"22262","FELT EGG COSY CHICKEN",2026,1947.82
"22263","FELT EGG COSY LADYBIRD ",836,627.38
"22264","FELT FARM ANIMAL WHITE BUNNY ",2014,1152.22
"22265","EASTER DECORATION NATURAL CHICK",1843,1207.80
"22266","EASTER DECORATION HANGING BUNNY",2542,1040.11
"22267","EASTER DECORATION EGG BUNNY ",1472,1291.47
"22268","DECORATION SITTING BUNNY",1480,349.54
"22268","EASTER DECORATION SITTING BUNNY",1074,921.75
"22269","EGG CUP NATURAL CHICKEN",1521,1357.70
"22270","HAPPY EASTER HANGING DECORATION",685,2638.67
"22271","FELTCRAFT DOLL ROSIE",4866,13921.73
"22272","FELTCRAFT DOLL MARIA",1371,3848.34
"22273","FELTCRAFT DOLL MOLLY",7355,20150.99
"22274","FELTCRAFT DOLL EMILY",3773,10770.07
"22275","WEEKEND BAG VINTAGE ROSE PAISLEY",946,7875.33
"22276","WASH BAG VINTAGE ROSE PAISLEY",1889,4884.86
"22277","COSMETIC BAG VINTAGE ROSE PAISLEY",1400,2927.49
"22278","OVERNIGHT BAG VINTAGE ROSE PAISLEY",1016,5959.53
"22279","POCKET BAG BLUE PAISLEY RED SPOT",1440,2104.62
"22280","POCKET BAG PINK PAISELY BROWN SPOT",877,1248.74
"22281","EASTER TREE YELLOW BIRDS",511,3285.86
"22282","12 EGG HOUSE PAINTED WOOD",561,7304.69
"22283","6 EGG HOUSE PAINTED WOOD",1032,8533.09
"22284","HEN HOUSE DECORATION",2465,4017.74
"22285","DECORATION HEN ON NEST, HANGING",1877,2829.19
"22285","HANGING HEN ON NEST DECORATION",828,1418.82
"22286","DECORATION , WOBBLY RABBIT , METAL ",1107,1696.29
"22286","DECORATION WOBBLY RABBIT METAL ",830,504.46
"22287","DECORATION , WOBBLY CHICKEN, METAL ",780,1116.61
"22287","DECORATION WOBBLY CHICKEN",560,319.14
"22288","DECORATION , HANGING METAL RABBIT",834,904.02
"22288","HANGING METAL RABBIT DECORATION",476,621.97
"22289","DECORATION , HANGING METAL CHICKEN",616,623.96
"22289","HANGING METAL CHICKEN DECORATION",148,193.52
"22290","STANDING METAL RABBIT WITH EGG",670,1223.02
"22291","HANGING CHICK CREAM DECORATION",1293,1913.35
"22291","SPRING DEC , HANGING CHICK CREAM",1900,2499.58
"22292","HANGING CHICK  YELLOW DECORATION",1139,1608.86
"22292","SPRING DEC , HANGING CHICK  YELLOW",1640,2164.88
"22293","HANGING CHICK GREEN DECORATION",906,1343.28
"22293","SPRING DEC , HANGING CHICK  GREEN",1128,1516.92
"22294","HEART FILIGREE DOVE  SMALL",16671,20629.38
"22295","HEART FILIGREE DOVE LARGE",8411,13873.54
"22296","HEART IVORY TRELLIS LARGE",9719,16027.56
"22297","HEART IVORY TRELLIS SMALL",13715,17702.62
"22299","PIG KEYRING WITH LIGHT & SOUND ",3912,4430.82
"22300","COFFEE MUG DOG + BALL DESIGN",4116,9891.40
"22301","COFFEE MUG CAT + BIRD DESIGN",5009,12124.78
"22302","COFFEE MUG PEARS  DESIGN",4926,10492.45
"22303","COFFEE MUG APPLES DESIGN",5439,12701.63
"22304","COFFEE MUG BLUE PAISLEY DESIGN",2380,4689.56
"22305","COFFEE MUG PINK PAISLEY DESIGN",2267,4711.53
"22306","SILVER MUG BONE CHINA TREE OF LIFE",1621,2316.20
"22307","GOLD MUG BONE CHINA TREE OF LIFE",1199,1804.11
"22308","TEA COSY BLUE STRIPE",677,2085.05
"22309","TEA COSY RED  STRIPE",1331,3459.08
"22310","IVORY KNITTED MUG COSY ",1142,2140.35
"22310","KNITTED MUG COSY IVORY COLOUR ",597,973.59
"22311","OFFICE MUG WARMER BLACK+SILVER ",2116,6755.56
"22312","OFFICE MUG WARMER POLKADOT",1233,4254.05
"22313","OFFICE MUG WARMER PINK",985,3146.07
"22314","OFFICE MUG WARMER CHOC+BLUE",1110,3888.48
"22315","200 RED + WHITE BENDY STRAWS",2136,2749.51
"22316","200 BENDY SKULL STRAWS",1257,1432.82
"22317","FIVE CATS HANGING DECORATION",587,1827.64
"22318","FIVE HEART HANGING DECORATION",1583,4983.98
"22319","HAIRCLIPS FORTIES FABRIC ASSORTED",2987,1698.04
"22320","BIRDS MOBILE VINTAGE DESIGN",598,3545.02
"22321","BIRD DECORATION RED RETROSPOT",1261,1170.40
"22321","BIRD DECORATION RED SPOT",1267,1169.55
"22322","BIRD DECORATION GREEN  SPOT",678,660.62
"22322","BIRD DECORATION GREEN POLKADOT",939,867.59
"22323","BAG FOR CHILDREN VINTAGE PINK ",96,408.00
"22323","PINK POLKADOT KIDS BAG",539,1275.31
"22324","BAG FOR CHILDREN VINTAGE BLUE ",96,408.00
"22324","BLUE POLKADOT KIDS BAG",568,1389.06
"22325","MOBILE VINTAGE HEARTS ",699,3139.99
"22326","ROUND SNACK BOXES ,SET4, WOODLAND ",66,194.70
"22326","ROUND SNACK BOXES SET OF4 WOODLAND ",15380,44063.04
"22327","ROUND SNACK BOXES SET OF 4 SKULLS",3065,9943.55
"22328","ROUND SNACK BOXES ,SET 4, FRUITS ",84,247.80
"22328","ROUND SNACK BOXES SET OF 4 FRUITS ",12875,35922.51
"22329","ROUND CONTAINER SET OF 5 RETROSPOT",5123,8371.05
"22329","ROUND FOOD CONTAINER S/5 RETROSPOT",36,59.40
"22330","72 ROUND PINK DOILIES",128,197.90
"22331","WOODLAND PARTY BAG + STICKER SET",3660,6011.57
"22332","SKULLS PARTY BAG + STICKER SET",4158,6520.55
"22333","RETRO SPORT PARTY BAG + STICKER SET",3444,5370.08
"22333","RETRO SPOT PARTY BAG + STICKER SET",938,1412.25
"22333","RETROSPOT PARTY BAG + STICKER SET",5648,8857.32
"22334","DINOSAUR PARTY BAG + STICKER SET",2230,3552.36
"22335","HEART DECORATION PAINTED ZINC ",8666,5644.77
"22336","DOVE DECORATION PAINTED ZINC ",4661,2234.96
"22337","ANGEL DECORATION PAINTED ZINC ",2473,1522.52
"22338","STAR DECORATION PAINTED ZINC ",6087,2151.99
"22339","CHRISTMAS TREE PAINTED ZINC ",3521,1385.46
"22340","NOEL GARLAND PAINTED ZINC ",1799,1511.05
"22341","LOVE GARLAND PAINTED ZINC ",3467,5698.89
"22342","HOME GARLAND PAINTED ZINC ",1817,2521.25
"22343","PARTY PIZZA DISH RED RETROSPOT",2797,1541.47
"22343","PARTY PIZZA DISH RED WHITE SPOT ",488,434.07
"22343","PARTY PIZZA DISH RED+WHITE SPOT ",12,10.20
"22344","PARTY PIZZA DISH PINK POLKADOT",1296,526.64
"22344","PARTY PIZZA DISH PINK RETROSPOT",185,181.55
"22344","PARTY PIZZA DISH PINK WHITE SPOT ",75,78.73
"22344","PARTY PIZZA DISH PINK+WHITE SPOT ",24,20.40
"22345","PARTY PIZZA DISH BLUE POLKADOT",1183,457.58
"22345","PARTY PIZZA DISH BLUE RETROSPOT",206,178.34
"22345","PARTY PIZZA DISH BLUE WHITE SPOT ",53,54.28
"22345","PARTY PIZZA DISH BLUE+WHITE SPOT ",24,20.40
"22346","PARTY PIZZA DISH GREEN POLKADOT",1159,479.60
"22346","PARTY PIZZA DISH GREEN RETROSPOT",89,80.51
"22346","PARTY PIZZA DISH GREEN WHITE SPOT ",40,42.30
"22346","PARTY PIZZA DISH GREEN+WHITE SPOT ",12,10.20
"22347","PIZZA DISH SLICE ",36,45.00
"22347","PIZZA SLICE DISH",2680,3074.18
"22348","TEA BAG PLATE RED RETROSPOT",5327,4648.93
"22348","TEA BAG PLATE RED SPOTTY ",7126,5934.19
"22349","DOG BOWL , CHASING BALL DESIGN",754,3014.30
"22349","DOG BOWL CHASING BALL DESIGN",1817,7537.37
"22350","CAT BOWL ",946,2521.24
"22350","ILLUSTRATED CAT BOWL ",1894,5362.20
"22351","DOTCOMGIFTSHOP TEA TOWEL",15,29.81
"22352","LUNCH BOX WITH CUTLERY RETROSPOT ",5678,14348.82
"22352","LUNCHBOX WITH CUTLERY RETROSPOT ",1412,3481.89
"22353","LUNCH BOX WITH CUTLERY FAIRY CAKES ",1588,4320.21
"22353","LUNCHBOX WITH CUTLERY FAIRY CAKES ",1451,3597.68
"22354","RETRO SPOT PADDED SEAT CUSHION",475,1718.93
"22354","RETROSPOT PADDED SEAT CUSHION",1753,6735.63
"22355","CHARLOTTE BAG , SUKI DESIGN",4406,3796.59
"22355","CHARLOTTE BAG SUKI DESIGN",27550,41580.97
"22356","CHARLOTTE BAG , PINK/WHITE SPOTS",4453,3740.38
"22356","CHARLOTTE BAG PINK POLKADOT",11219,13172.00
"22356","CHARLOTTE BAG PINK WITH WHITE SPOTS",4343,3959.52
"22357","KINGS CHOICE BISCUIT TIN",2073,9352.41
"22358","KINGS CHOICE TEA CADDY ",2651,8393.61
"22359","GLASS JAR KINGS CHOICE",1236,3928.28
"22359","GLASS JAR, KINGS CHOICE SOAP",42,123.90
"22360","GLASS JAR ENGLISH CONFECTIONERY",2501,7529.60
"22360","GLASS JAR, ENGLISH CONFECTIONERY",2,5.90
"22361","GLASS JAR DAISY FRESH COTTON WOOL",1845,6036.26
"22362","GLASS JAR PEACOCK BATH SALTS",747,2410.53
"22363","GLASS JAR MARMALADE ",781,2303.39
"22364","GLASS JAR DIGESTIVE BISCUITS",2054,6498.61
"22365","DOOR MAT RESPECTABLE HOUSE",379,2765.69
"22365","DOORMAT RESPECTABLE HOUSE",1950,12524.10
"22366","DOOR MAT AIRMAIL ",455,3366.71
"22366","DOORMAT AIRMAIL ",2085,13875.59
"22367","CHILDRENS APRON SPACEBOY DESIGN",5734,11365.80
"22367","CHILDS APRON SPACEBOY DESIGN",2325,4412.87
"22371","AIRLINE BAG VINTAGE TOKYO 78",1828,8936.80
"22372","AIRLINE BAG VINTAGE WORLD CHAMPION ",604,3073.43
"22374","AIRLINE BAG VINTAGE JET SET RED",1023,5099.84
"22375","AIRLINE BAG VINTAGE JET SET BROWN",590,2969.29
"22376","AIRLINE BAG VINTAGE JET SET WHITE",529,2632.18
"22377","BOTTLE BAG RETROSPOT ",3618,6920.11
"22378","WALL TIDY RETROSPOT ",3749,6826.51
"22379","RECYCLING BAG RETROSPOT ",15765,34640.84
"22380","TOY TIDY SPACEBOY  ",4964,10217.66
"22381","TOY TIDY PINK POLKADOT",4712,10090.01
"22381","TOY TIDY PINK RETROSPOT  ",4553,9529.53
"22382","LUNCH BAG SPACEBOY DESIGN ",19604,33049.37
"22382","LUNCHBAG SPACEBOY DESIGN ",644,1022.60
"22383","LUNCH BAG SUKI  DESIGN ",14347,23893.29
"22383","LUNCH BAG SUKI DESIGN ",10301,18699.43
"22383","LUNCHBAG SUKI  DESIGN ",410,661.63
"22384","LUNCH BAG PINK POLKADOT",11751,19500.66
"22384","LUNCH BAG PINK POLKADOTS",10,16.50
"22384","LUNCH BAG PINK RETROSPOT",8914,14391.72
"22384","LUNCHBAG PINK RETROSPOT",108,179.91
"22385","JUMBO BAG SPACEBOY DESIGN",17057,32433.50
"22386","JUMBO BAG PINK POLKADOT",25235,50081.96
"22386","JUMBO BAG PINK WITH WHITE SPOTS",14202,26242.66
"22389","PAPERWEIGHT SAVE THE PLANET",647,1245.52
"22390","PAPERWEIGHT CHILDHOOD MEMORIES",813,1448.52
"22391","PAPERWEIGHT HOME SWEET HOME",323,635.19
"22393","PAPERWEIGHT VINTAGE COLLAGE",834,1459.37
"22394","PAPERWEIGHT KINGS CHOICE ",346,544.29
"22395","PAPERWEIGHT VINTAGE PAISLEY",234,413.76
"22396","MAGNETS PACK OF 4 RETRO PHOTO",1895,1427.08
"22398","MAGNETS PACK OF 4 SWALLOWS",4239,3687.48
"22399","MAGNETS PACK OF 4 CHILDHOOD MEMORY",4040,4734.60
"22400","MAGNETS PACK OF 4 HOME SWEET HOME",2450,2049.56
"22402","MAGNETS PACK OF 4 VINTAGE COLLAGE",3431,3012.78
"22403","MAGNETS PACK OF 4 VINTAGE LABELS ",1715,1195.89
"22405","MONEY BOX POCKET MONEY DESIGN",1618,1963.38
"22405","TIN CAN POCKET MONEY DESIGN",24,30.00
"22406","MONEY BOX KINGS CHOICE DESIGN",2451,3104.35
"22406","TIN CAN KINGS CHOICE DESIGN",36,45.00
"22407","MONEY BOX FIRST ADE DESIGN",394,484.34
"22407","MONEY BOX FIRST AID DESIGN",44,36.78
"22408","MONEY BOX CONFECTIONERY DESIGN",638,783.67
"22408","TIN CAN CONFECTIONERY DESIGN",12,15.00
"22409","MONEY BOX BISCUITS DESIGN",1638,2230.46
"22409","TIN CAN BISCUITS DESIGN",48,60.00
"22410","MONEY BOX HOUSEKEEPING DESIGN",1339,1637.46
"22410","TIN CAN HOUSEKEEPING DESIGN",24,30.00
"22411","JUMBO SHOPPER VINTAGE RED PAISLEY",27281,57318.71
"22412","METAL SIGN NEIGHBOURHOOD WITCH ",2401,5140.82
"22413","METAL SIGN TAKE IT OR LEAVE IT ",6976,19728.24
"22414","DOOR MAT NEIGHBOURHOOD WITCH ",95,783.87
"22414","DOORMAT NEIGHBOURHOOD WITCH ",1092,6419.70
"22415","WHITE TISSUE REAM",317,2520.15
"22416","36 DOILIES SPACEBOY DESIGN ",709,1005.37
"22416","SET OF 36 DOILIES SPACEBOY DESIGN ",1210,1682.57
"22416","SET OF 36 SPACEBOY PAPER DOILIES",51,75.42
"22417","PACK OF 60 SPACEBOY CAKE CASES",21451,11159.90
"22418","10 COLOUR SPACEBOY PEN",12290,10397.33
"22418","PEN, 10 COLOURS - SPACEBOY",24,20.40
"22419","LIPSTICK PEN RED",6847,3242.59
"22420","LIPSTICK PEN BABY PINK",2111,1014.75
"22421","LIPSTICK PEN FUSCHIA",4721,2351.86
"22422","TOOTHPASTE TUBE PEN",2743,1760.94
"22423","REGENCY CAKESTAND 3 TIER",26478,330590.32
"22424","ENAMEL BREAD BIN CREAM",1529,20886.89
"22425","ENAMEL COLANDER CREAM",732,3754.40
"22425","ENAMEL COLLANDER CREAM",122,567.12
"22426","ENAMEL WASH BOWL CREAM",1333,5133.30
"22427","ENAMEL FLOWER JUG CREAM",3210,19273.28
"22428","ENAMEL FIRE BUCKET CREAM",459,3379.67
"22429","ENAMEL MEASURING JUG CREAM",2280,9844.04
"22430","ENAMEL WATERING CAN CREAM",1397,6761.38
"22431","WATERING CAN BLUE ELEPHANT",3365,6771.52
"22432","WATERING CAN GREEN DINOSAUR",48,93.60
"22432","WATERING CAN PINK BUNNY",3484,6636.82
"22433","WATERING CAN GREEN DINOSAUR",2724,5080.98
"22433","WATERING CAN PINK BUNNY",54,105.30
"22434","BALLOON PUMP WITH 10 BALLOONS",2547,4733.49
"22435","SET OF 9 HEART SHAPED BALLOONS",4915,6185.22
"22436","12 COLOURED PARTY BALLOONS",4215,2687.05
"22437","SET OF 9 BLACK SKULL BALLOONS",6514,5457.97
"22438","BALLOON ART MAKE YOUR OWN FLOWERS",1459,1913.22
"22439","6 ROCKET BALLOONS ",3891,2599.01
"22440","BALLOON WATER BOMB PACK OF 35",8523,3399.41
"22441","GROW YOUR OWN BASIL IN ENAMEL MUG",2644,5729.57
